CustomerID,FirstName,LastName,DOB,Gender,Email,City,State,PostalCode,Country,CustomerSince,CustomerType
1,CustFN1,CustLN1,13-03-2003,M,customer1@mail.com,Bangalore,MH,416837,India,30-11-2024,Regular
2,CustFN2,CustLN2,27-11-1985,M,customer2@mail.com,Hyderabad,KA,389106,India,16-02-2015,VIP
3,CustFN3,CustLN3,13-06-1988,F,customer3@mail.com,Hyderabad,TS,128295,India,08-07-2018,Regular
4,CustFN4,CustLN4,09-08-1998,F,customer4@mail.com,Delhi,MH,113807,India,21-11-2020,VIP
5,CustFN5,CustLN5,14-05-1984,M,customer5@mail.com,Mumbai,TS,535564,India,29-10-2024,VIP
6,CustFN6,CustLN6,04-04-1994,F,customer6@mail.com,Bangalore,KA,257504,India,16-03-2016,Regular
7,CustFN7,CustLN7,20-08-1980,M,customer7@mail.com,Hyderabad,MH,338067,India,23-01-2015,Regular
8,CustFN8,CustLN8,11-06-1981,M,customer8@mail.com,Hyderabad,TS,585008,India,30-11-2023,Regular
9,CustFN9,CustLN9,18-11-1960,F,customer9@mail.com,Bangalore,MH,792440,India,06-07-2016,Wholesale
10,CustFN10,CustLN10,07-03-1991,M,customer10@mail.com,Delhi,KA,494540,India,17-01-2015,Regular
11,CustFN11,CustLN11,04-09-1978,F,customer11@mail.com,Hyderabad,TS,977699,India,25-03-2015,VIP
12,CustFN12,CustLN12,30-09-1965,F,customer12@mail.com,Mumbai,MH,617923,India,23-02-2016,Regular
13,CustFN13,CustLN13,06-11-1969,M,customer13@mail.com,Hyderabad,KA,266981,India,24-02-2015,Wholesale
14,CustFN14,CustLN14,05-10-1983,M,customer14@mail.com,Mumbai,MH,844699,India,15-02-2017,Regular
15,CustFN15,CustLN15,20-01-1996,F,customer15@mail.com,Bangalore,MH,119870,India,29-08-2021,Wholesale
16,CustFN16,CustLN16,10-05-1974,M,customer16@mail.com,Mumbai,DL,303196,India,02-11-2024,Wholesale
17,CustFN17,CustLN17,12-11-1967,M,customer17@mail.com,Bangalore,DL,348683,India,22-05-2018,Regular
18,CustFN18,CustLN18,13-08-1969,M,customer18@mail.com,Mumbai,KA,334677,India,27-01-2024,VIP
19,CustFN19,CustLN19,19-01-2004,F,customer19@mail.com,Bangalore,DL,126790,India,12-02-2021,Wholesale
20,CustFN20,CustLN20,24-03-1991,F,customer20@mail.com,Mumbai,KA,743162,India,21-07-2021,Regular
21,CustFN21,CustLN21,01-08-1989,M,customer21@mail.com,Delhi,DL,911721,India,03-07-2022,Regular
22,CustFN22,CustLN22,07-05-1975,F,customer22@mail.com,Mumbai,MH,548345,India,27-07-2016,VIP
23,CustFN23,CustLN23,03-11-1983,F,customer23@mail.com,Mumbai,KA,849074,India,09-01-2016,Wholesale
24,CustFN24,CustLN24,23-10-1961,F,customer24@mail.com,Delhi,KA,587462,India,03-06-2022,Wholesale
25,CustFN25,CustLN25,25-06-1976,F,customer25@mail.com,Hyderabad,MH,639773,India,17-09-2018,Regular
26,CustFN26,CustLN26,30-10-1961,F,customer26@mail.com,Hyderabad,KA,930914,India,14-10-2018,Regular
27,CustFN27,CustLN27,05-03-1971,M,customer27@mail.com,Mumbai,KA,186188,India,16-02-2023,VIP
28,CustFN28,CustLN28,15-02-1974,M,customer28@mail.com,Delhi,DL,629036,India,19-07-2024,VIP
29,CustFN29,CustLN29,18-04-1987,M,customer29@mail.com,Mumbai,KA,842129,India,23-02-2024,Wholesale
30,CustFN30,CustLN30,01-09-1986,F,customer30@mail.com,Bangalore,TS,764795,India,17-03-2017,Wholesale
31,CustFN31,CustLN31,21-08-1984,F,customer31@mail.com,Bangalore,MH,890141,India,13-04-2020,Regular
32,CustFN32,CustLN32,18-12-2005,M,customer32@mail.com,Mumbai,DL,748249,India,09-03-2015,Wholesale
33,CustFN33,CustLN33,01-10-1973,F,customer33@mail.com,Hyderabad,DL,130355,India,17-09-2024,VIP
34,CustFN34,CustLN34,14-12-1974,M,customer34@mail.com,Hyderabad,TS,811131,India,27-10-2021,VIP
35,CustFN35,CustLN35,23-08-1986,M,customer35@mail.com,Mumbai,MH,551015,India,07-05-2016,Regular
36,CustFN36,CustLN36,19-11-1995,M,customer36@mail.com,Mumbai,MH,506332,India,06-01-2019,VIP
37,CustFN37,CustLN37,17-11-1970,F,customer37@mail.com,Bangalore,DL,256542,India,18-05-2021,VIP
38,CustFN38,CustLN38,25-02-1966,F,customer38@mail.com,Hyderabad,KA,273416,India,16-05-2022,VIP
39,CustFN39,CustLN39,11-12-1962,M,customer39@mail.com,Mumbai,DL,405062,India,07-07-2015,VIP
40,CustFN40,CustLN40,22-01-1983,M,customer40@mail.com,Bangalore,MH,938656,India,24-08-2020,Regular
41,CustFN41,CustLN41,02-07-1966,M,customer41@mail.com,Hyderabad,TS,663586,India,02-07-2015,Regular
42,CustFN42,CustLN42,01-11-1970,M,customer42@mail.com,Delhi,DL,601708,India,07-05-2015,Wholesale
43,CustFN43,CustLN43,23-05-2001,F,customer43@mail.com,Bangalore,MH,966651,India,31-10-2024,VIP
44,CustFN44,CustLN44,23-06-1970,F,customer44@mail.com,Hyderabad,DL,161629,India,04-08-2023,Wholesale
45,CustFN45,CustLN45,02-11-1994,M,customer45@mail.com,Hyderabad,KA,428184,India,01-07-2019,Regular
46,CustFN46,CustLN46,11-02-1965,M,customer46@mail.com,Bangalore,DL,592734,India,09-06-2024,Regular
47,CustFN47,CustLN47,02-02-1987,F,customer47@mail.com,Delhi,DL,855195,India,04-06-2016,Regular
48,CustFN48,CustLN48,29-11-1988,F,customer48@mail.com,Bangalore,MH,390160,India,11-09-2017,Regular
49,CustFN49,CustLN49,09-02-1986,M,customer49@mail.com,Hyderabad,MH,648248,India,23-06-2023,Regular
50,CustFN50,CustLN50,31-07-1980,M,customer50@mail.com,Mumbai,MH,920023,India,24-01-2023,Regular
